buggy_code,clean_code
"def divide(a, b): return a / b","def divide(a, b): return a / b if b != 0 else None"
"for i in range(10) print(i)","for i in range(10): print(i)"
"print('Hello World',print('Hello World')","print('Hello World'); print('Hello World')"
"print('hello","print('hello')"
"if x = 5:","if x == 5:"
"while True print('loop')","while True: print('loop')"
"def add(x, y return x + y","def add(x, y): return x + y"
"print 'hello'","print('hello')"
"def func() print('hi')","def func(): print('hi')"
"for i in range(5) print(i)","for i in range(5): print(i)"
"if x => 10","if x >= 10"
"def say_hi() print('hi')","def say_hi(): print('hi')"
"if (x > 5","if (x > 5):"
"def greet(name) print('Hi ' + name)","def greet(name): print('Hi ' + name)"
"while x < 5 x += 1","while x < 5: x += 1"
"def calc(a b): return a + b","def calc(a, b): return a + b"
"def hello():\nprint('hi')","def hello():\n    print('hi')"
"x = [1, 2, 3 print(x)","x = [1, 2, 3]; print(x)"
"def foo():\nprint('bar')","def foo():\n    print('bar')"
"if x < 5 print('yes')","if x < 5: print('yes')"
"for i in 10: print(i)","for i in range(10): print(i)"
"def square(n): return n * n","def square(n): return n * n"
"x = input('Enter:')\nif x 10 print('big')","x = input('Enter:')\nif int(x) > 10: print('big')"
"def greet(name): print('Hi' name)","def greet(name): print('Hi', name)"
"def test()\nprint('done')","def test():\n    print('done')"
"if x not None:","if x is not None:"
"def mult(x, y): return x * y","def mult(x, y): return x * y"
"x = 10 if x > 5 print('yes')","x = 10\nif x > 5: print('yes')"
"def say(): print('hello') print('world')","def say():\n    print('hello')\n    print('world')"
"print'hello'","print('hello')"
